,season,player_id,player,pos,age,tm,g,gs,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_percent,x2p_percent,e_fg_percent,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
508,2023,4047,Nikola Vučević,C,32.0,CHI,82,82.0,33.5,7.3,14.0,0.52,0.349,0.594,0.573,0.835,1.9,9.1,11.0,3.2,0.7,0.7,1.7,2.2,17.6
509,2023,4282,Noah Vonleh,C,27.0,BOS,23,1.0,7.4,0.5,1.0,0.458,0.25,0.5,0.479,1.0,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.5,1.1
510,2023,4353,Norman Powell,SG,29.0,LAC,60,8.0,26.1,5.7,11.8,0.479,0.397,0.534,0.559,0.812,0.4,2.5,2.9,1.8,0.8,0.3,1.7,2.1,17.0
511,2023,4871,Obi Toppin,PF,24.0,NYK,67,5.0,15.7,2.8,6.3,0.446,0.344,0.593,0.548,0.809,0.4,2.4,2.8,1.0,0.3,0.2,0.6,1.0,7.4
512,2023,5086,Ochai Agbaji,SG,22.0,UTA,59,22.0,20.5,2.8,6.5,0.427,0.355,0.532,0.532,0.812,0.7,1.3,2.1,1.1,0.3,0.3,0.7,1.7,7.9
513,2023,4555,OG Anunoby,SF,25.0,TOR,67,67.0,35.6,6.3,13.2,0.476,0.387,0.539,0.556,0.838,1.4,3.5,5.0,2.0,1.9,0.7,2.0,3.0,16.8
514,2023,4996,Olivier Sarr,C,23.0,OKC,9,1.0,12.7,1.7,3.3,0.5,0.125,0.636,0.517,0.714,1.3,2.1,3.4,0.4,0.1,0.6,0.4,1.9,4.0
515,2023,4997,Omer Yurtseven,C,24.0,MIA,9,0.0,9.2,1.8,3.0,0.593,0.429,0.65,0.648,0.833,0.9,1.7,2.6,0.2,0.2,0.2,0.4,1.8,4.4
516,2023,4872,Onyeka Okongwu,C,22.0,ATL,80,18.0,23.1,4.0,6.2,0.638,0.308,0.647,0.642,0.781,2.7,4.5,7.2,1.0,0.7,1.3,1.0,3.1,9.9
517,2023,5087,Orlando Robinson,C,22.0,MIA,31,1.0,13.7,1.5,2.9,0.528,0.0,0.566,0.528,0.71,1.5,2.5,4.1,0.8,0.4,0.4,0.5,1.7,3.7
518,2023,4777,Oshae Brissett,SF,24.0,IND,65,2.0,16.7,1.9,4.9,0.386,0.31,0.457,0.461,0.717,1.0,2.4,3.4,0.7,0.5,0.2,0.5,1.2,6.1
519,2023,4189,Otto Porter Jr.,SF,29.0,TOR,8,2.0,18.3,1.9,3.8,0.5,0.353,0.692,0.6,1.0,0.8,1.6,2.4,1.0,1.4,0.0,0.5,0.9,5.5
520,2023,5088,Ousmane Dieng,SF,19.0,OKC,39,1.0,14.6,1.9,4.6,0.42,0.265,0.602,0.492,0.652,0.5,2.2,2.7,1.2,0.4,0.2,0.7,1.1,4.9
521,2023,3698,P.J. Tucker,PF,37.0,PHI,75,75.0,25.6,1.3,3.0,0.427,0.393,0.482,0.549,0.826,1.3,2.7,3.9,0.8,0.5,0.2,0.6,2.4,3.5
